,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICENSED DRIVERS BY SEX AND RATIO TO POPULATION - 2020 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 January 2022,,,,,,,,,,,,TABLE DL-1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LICENSED DRIVERS,,,,,RATIO--LICENSED,POPULATION  (2),,,,DRIVERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,"403,856",48.70 ,"425,370",51.30 ,"829,226",0.82 ,"986,809","372,960","409,193","795,090",840 ,"1,043 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col. ,"256,577",49.26 ,"264,288",50.74 ,"520,865",1.68 ,"712,816","278,105","305,123","544,215",731 ,957 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida ,"7,755,134",49.35 ,"7,960,239",50.65 ,"15,715,373",0.90 ,"21,733,312","8,336,351","9,146,229","17,491,848",723 ,898 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia ,"3,583,553",47.64 ,"3,938,197",52.36 ,"7,521,750",0.89 ,"10,710,017","3,914,869","4,295,198","8,275,264",702 ,909 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,"470,671",51.07 ,"450,876",48.93 ,"921,547",0.74 ,"1,407,006","529,856","581,332","1,137,154",655 ,810 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho ,"651,522",50.69 ,"633,809",49.31 ,"1,285,331",0.66 ,"1,826,913","656,067","719,803","1,431,897",704 ,898 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,"4,059,059",49.35 ,"4,166,239",50.65 ,"8,225,298",0.78 ,"12,587,530","4,677,568","5,131,994","9,868,245",653 ,834 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana ,"2,223,358",49.05 ,"2,309,350",50.95 ,"4,532,708",0.73 ,"6,754,953","2,474,078","2,714,436","5,218,979",671 ,869 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa ,"1,124,007",49.54 ,"1,144,909",50.46 ,"2,268,916",0.61 ,"3,163,561","1,162,531","1,275,471","2,456,703",717 ,924 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,"969,756",48.38 ,"1,034,546",51.62 ,"2,004,302",0.75 ,"2,913,805","1,057,177","1,159,882","2,231,518",688 ,898 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky ,"1,425,392",49.06 ,"1,480,240",50.94 ,"2,905,632",0.68 ,"4,477,251","1,657,170","1,818,164","3,493,482",649 ,832 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana ,"1,642,187",48.06 ,"1,774,461",51.94 ,"3,416,648",0.92 ,"4,645,318","1,699,467","1,864,571","3,541,104",736 ,965 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine ,"517,826",49.42 ,"530,067",50.58 ,"1,047,893",0.94 ,"1,350,141","525,462","576,511","1,120,338",776 ,935 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland ,"2,211,930",49.66 ,"2,242,336",50.34 ,"4,454,266",1.08 ,"6,055,802","2,251,571","2,470,312","4,801,825",736 ,928 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts ,"2,432,884",49.24 ,"2,507,489",50.76 ,"4,940,373",0.98 ,"6,893,574","2,647,427","2,904,624","5,622,590",717 ,879 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan ,"3,458,255",49.22 ,"3,568,395",50.78 ,"7,026,650",0.84 ,"9,966,555","3,738,284","4,101,458","7,897,432",705 ,890 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota ,"2,055,978",50.27 ,"2,034,286",49.73 ,"4,090,264",0.76 ,"5,657,342","2,077,163","2,278,960","4,389,823",723 ,932 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"951,163",47.15 ,"1,065,948",52.85 ,"2,017,111",0.98 ,"2,966,786","1,084,163","1,189,490","2,257,130",680 ,894 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri ,"2,073,027",48.67 ,"2,186,645",51.33 ,"4,259,672",0.78 ,"6,151,548","2,279,340","2,500,779","4,783,630",692 ,890 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana  ,"419,495",50.74 ,"407,259",49.26 ,"826,754",0.44 ,"1,080,577","405,738","445,156","869,201",765 ,951 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska ,"720,896",50.10 ,"717,925",49.90 ,"1,438,821",0.75 ,"1,937,552","697,393","765,144","1,480,808",743 ,972 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada ,"1,051,969",51.16 ,"1,004,425",48.84 ,"2,056,394",0.82 ,"3,138,259","1,163,807","1,276,872","2,445,243",655 ,841 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire ,"528,941",49.88 ,"531,440",50.12 ,"1,060,381",0.78 ,"1,366,275","530,787","582,354","1,132,616",776 ,936 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey  ,"3,057,310",49.07 ,"3,173,602",50.93 ,"6,230,912",1.04 ,"8,882,371","3,312,989","3,634,847","7,244,002",701 ,860 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico  ,"724,366",49.17 ,"748,853",50.83 ,"1,473,219",0.82 ,"2,106,319","779,071","854,757","1,642,656",699 ,897 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York (5),"5,924,977",48.59 ,"6,269,383",51.41 ,"12,194,360",1.08 ,"19,336,776","7,318,704","8,029,718","15,722,590",631 ,776 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,"3,680,093",48.19 ,"3,957,307",51.81 ,"7,637,400",0.91 ,"10,600,823","3,955,093","4,339,330","8,249,659",720 ,926 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota ,"278,051",51.59 ,"260,955",48.41 ,"539,006",0.61 ,"765,309","278,321","305,359","589,247",704 ,915 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio ,"3,973,371",49.05 ,"4,126,902",50.95 ,"8,100,273",0.75 ,"11,693,217","4,350,941","4,773,635","9,174,388",693 ,883 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,"1,184,969",46.46 ,"1,365,591",53.54 ,"2,550,560",0.69 ,"3,980,783","1,443,513","1,583,750","3,025,109",641 ,843 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,"1,450,641",49.26 ,"1,494,187",50.74 ,"2,944,828",0.77 ,"4,241,507","1,612,059","1,768,670","3,384,804",694 ,870 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"4,417,594",49.47 ,"4,513,083",50.53 ,"8,930,677",0.84 ,"12,783,254","4,845,861","5,316,636","10,290,047",699 ,868 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island ,"357,247",48.82 ,"374,468",51.18 ,"731,715",0.86 ,"1,057,125","407,828","447,448","886,783",692 ,825 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina ,"1,861,511",47.66 ,"2,044,400",52.34 ,"3,905,911",0.91 ,"5,218,040","1,955,089","2,145,026","4,073,613",749 ,959 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota ,"332,249",50.49 ,"325,842",49.51 ,"658,091",0.52 ,"892,717","321,502","352,736","674,947",737 ,975 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee ,"2,344,543",48.07 ,"2,532,725",51.93 ,"4,877,268",0.86 ,"6,886,834","2,562,255","2,811,178","5,434,544",708 ,897 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,"8,745,910",49.50 ,"8,921,129",50.50 ,"17,667,039",0.78 ,"29,360,759","10,454,963","11,470,664","22,052,508",602 ,801 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah ,"1,083,825",50.42 ,"1,065,941",49.58 ,"2,149,766",0.90 ,"3,249,879","1,106,551","1,214,052","2,390,732",661 ,899 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont ,"228,021",49.48 ,"232,850",50.52 ,"460,871",0.76 ,"623,347","243,273","266,908","528,594",739 ,872 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia ,"2,848,122",48.19 ,"3,061,594",51.81 ,"5,909,716",0.79 ,"8,590,563","3,206,324","3,517,819","6,757,448",688 ,875 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington ,"2,965,355",51.02 ,"2,847,145",48.98 ,"5,812,500",0.81 ,"7,693,612","2,874,290","3,153,528","6,062,570",755 ,959 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia ,"543,225",49.30 ,"558,551",50.70 ,"1,101,775",0.68 ,"1,784,787","681,172","747,348","1,423,928",617 ,774 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin  ,"2,154,013",49.91 ,"2,161,879",50.09 ,"4,315,892",0.77 ,"5,832,655","2,181,118","2,393,013","4,621,152",740 ,934 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming  ,"218,634",51.17 ,"208,599",48.83 ,"427,233",0.52 ,"582,328","214,213","235,024","446,379",734 ,957 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"112,595,057 ",49.34 ,"115,600,745 ",50.66 ,"228,195,802",0.84 ,"329,484,123 ","122,386,093","134,275,917","256,662,010",693 ,889 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) Includes restricted drivers and graduated driver licenses.,,,,,,,         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2) Data Source: Bureau of the Census, Estimates of Resident Population Age 18 and Older, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
